gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Cdkn1b,0.592,2.20,0.08,0.15,0.04,0.14
Mrpl54,0.592,2.53,0.07,0.15,0.03,0.12
Dtd2,0.592,6.21,0.04,0.10,0.01,0.03
Rgs17,0.592,4.49,0.05,0.12,0.01,0.02
Pfn1,0.592,1.49,0.44,0.52,0.30,0.40
Suclg1,0.592,2.06,0.11,0.20,0.05,0.17
Gorasp2,0.591,2.18,0.09,0.16,0.04,0.14
Psmb3,0.591,1.49,0.08,0.19,0.05,0.17
Hdac2,0.591,3.28,0.07,0.14,0.02,0.11
Serinc1,0.591,1.81,0.06,0.14,0.03,0.11
1810037I17Rik,0.591,2.36,0.12,0.22,0.05,0.18
Krt19,0.591,1.65,0.42,0.49,0.26,0.43
Kif3a,0.591,4.78,0.04,0.09,0.01,0.06
Tmbim4,0.591,2.36,0.04,0.10,0.02,0.05
Ran,0.591,1.51,0.14,0.29,0.09,0.18
Glrx5,0.591,18.51,0.04,0.09,0.00,0.01
Tpd52l2,0.590,1.66,0.11,0.24,0.07,0.19
Hif1a,0.590,1.83,0.12,0.21,0.07,0.22
Gns,0.590,2.03,0.07,0.13,0.03,0.08
Parp14,0.590,3.14,0.05,0.10,0.02,0.08
Atic,0.590,2.65,0.03,0.12,0.01,0.07
Wdr33,0.590,1.44,0.12,0.28,0.08,0.22
Zeb1,0.590,2.42,0.07,0.13,0.03,0.11
Ppp2ca,0.590,1.62,0.09,0.24,0.05,0.19
Tmed9,0.590,1.16,0.08,0.26,0.07,0.21
Ncor2,0.590,1.51,0.12,0.28,0.08,0.24
Tmem131,0.590,2.37,0.09,0.16,0.04,0.14
Trir,0.590,1.15,0.06,0.17,0.05,0.13
Col4a3bp,0.590,1.56,0.13,0.23,0.09,0.27
Ift20,0.590,1.65,0.04,0.13,0.02,0.09
Capns1,0.590,1.40,0.19,0.41,0.14,0.33
Eed,0.590,2.36,0.05,0.12,0.02,0.11
Eif2s2,0.589,1.70,0.31,0.43,0.18,0.35
Ywhaq,0.589,1.53,0.16,0.33,0.10,0.29
Tmsb4x,0.589,1.29,3.27,0.97,2.53,0.81
Cox6b1,0.589,1.30,0.19,0.35,0.14,0.28
Tubgcp5,0.589,4.21,0.04,0.10,0.01,0.06
Cd151,0.589,3.45,0.04,0.10,0.01,0.06
Rad17,0.589,2.89,0.04,0.09,0.01,0.07
Odr4,0.589,1.95,0.04,0.12,0.02,0.06
Bik,0.589,2.40,0.04,0.10,0.02,0.07
Azin1,0.589,2.06,0.04,0.14,0.02,0.12
Vps28,0.589,2.50,0.05,0.15,0.02,0.09
Atp5j,0.589,1.52,0.13,0.30,0.08,0.23
Rsrc2,0.589,1.50,0.15,0.31,0.10,0.24
Bri3,0.589,1.53,0.17,0.34,0.11,0.27
Usp14,0.588,1.53,0.06,0.16,0.04,0.13
Scand1,0.588,1.33,0.13,0.30,0.10,0.25
Ppia,0.588,1.97,0.65,0.49,0.33,0.51
Ilk,0.588,4.25,0.04,0.10,0.01,0.03
Dnajb1,0.588,4.22,0.05,0.10,0.01,0.03
Pomp,0.588,1.40,0.12,0.23,0.09,0.16
Epas1,0.588,11.04,0.04,0.08,0.00,0.03
Krt20,0.588,7.18,0.04,0.10,0.01,0.01
Tmem9b,0.588,7.53,0.03,0.09,0.00,0.02
Rell1,0.588,2.58,0.04,0.12,0.02,0.09
Hspa5,0.588,1.52,0.24,0.41,0.15,0.32
Stx16,0.587,1.92,0.10,0.20,0.05,0.20
Man2a2,0.587,3.66,0.05,0.09,0.01,0.06
Gtf2h1,0.587,3.15,0.03,0.12,0.01,0.04
Catspere2,0.587,3.91,0.05,0.09,0.01,0.06
Myc,0.587,4.00,0.05,0.09,0.01,0.03
Mrpl50,0.587,4.72,0.04,0.08,0.01,0.04
Stx5a,0.587,2.27,0.05,0.12,0.02,0.11
Mat2b,0.587,1.99,0.05,0.14,0.03,0.08
Naa20,0.587,2.38,0.05,0.15,0.02,0.07
Stx6,0.587,1.74,0.03,0.14,0.02,0.08
Ppp2cb,0.587,2.06,0.06,0.13,0.03,0.09
Cyb5r3,0.587,1.63,0.13,0.29,0.08,0.25
Erc1,0.587,1.73,0.09,0.24,0.05,0.23
Ntn1,0.587,2.28,0.07,0.13,0.03,0.07
Map2k3,0.587,2.92,0.02,0.09,0.01,0.05
Gpr108,0.587,2.24,0.04,0.12,0.02,0.08
Gcnt2,0.587,1.91,0.12,0.22,0.06,0.22
Clu,0.587,2.14,11.36,0.98,5.31,0.95
Gnai3,0.587,2.04,0.10,0.21,0.05,0.18
Pnn,0.587,1.79,0.09,0.21,0.05,0.18
Rhoa,0.586,1.37,0.18,0.35,0.13,0.28
Rpl3,0.586,1.38,0.73,0.62,0.53,0.57
Calr,0.586,1.66,0.30,0.37,0.18,0.33
Rnf130,0.586,1.63,0.07,0.16,0.04,0.13
Chic2,0.586,1.35,0.08,0.20,0.06,0.17
Capn1,0.586,14.81,0.04,0.08,0.00,0.02
Aars,0.586,8.31,0.03,0.08,0.00,0.02
Rab7,0.586,1.77,0.10,0.20,0.06,0.23
Fabp5,0.586,1.53,0.16,0.21,0.10,0.17
Wwp1,0.586,1.72,0.08,0.19,0.05,0.14
Tmem214,0.586,2.30,0.03,0.10,0.01,0.07
Mms19,0.586,1.97,0.03,0.10,0.01,0.07
Tubgcp3,0.586,2.41,0.03,0.09,0.01,0.08
Dhx32,0.586,1.93,0.04,0.10,0.02,0.07
Kifap3,0.586,2.31,0.03,0.10,0.01,0.07
Vdac1,0.586,1.42,0.13,0.31,0.09,0.21
Fam174b,0.586,2.44,0.04,0.10,0.02,0.06
Cox14,0.586,1.99,0.03,0.09,0.01,0.07
Cast,0.586,1.59,0.12,0.26,0.07,0.20
Vill,0.586,1.70,0.08,0.17,0.05,0.17
Mrps24,0.586,1.49,0.08,0.15,0.05,0.13
Cd9,0.586,1.72,0.20,0.34,0.12,0.26
Rps27,0.585,1.25,0.55,0.55,0.44,0.47
Sh3gl1,0.585,1.31,0.04,0.15,0.03,0.06
Fxr2,0.585,2.98,0.06,0.10,0.02,0.11
Amotl1,0.585,1.50,0.08,0.19,0.06,0.18
Akr1a1,0.585,1.33,0.22,0.38,0.17,0.34
Tpm4,0.585,1.57,0.15,0.28,0.10,0.23
Fmr1,0.585,1.29,0.04,0.14,0.03,0.12
Lgals1,0.584,1.30,0.20,0.36,0.16,0.26
Tubb4b,0.584,1.31,0.10,0.19,0.08,0.12
Ptk2b,0.584,2.68,0.07,0.12,0.03,0.13
Gsto1,0.584,2.21,0.08,0.12,0.04,0.07
Fam83b,0.584,2.33,0.03,0.10,0.01,0.08
Glyr1,0.584,1.52,0.07,0.19,0.04,0.16
Ola1,0.584,1.01,0.04,0.14,0.04,0.09
Impact,0.584,3.42,0.05,0.10,0.01,0.05
Nme2,0.584,1.32,0.37,0.42,0.28,0.42
Timm10,0.584,6.47,0.03,0.09,0.00,0.02
Zmat3,0.584,7.18,0.04,0.10,0.00,0.01
Primpol,0.584,6.80,0.03,0.08,0.00,0.03
Gucd1,0.584,4.99,0.02,0.08,0.00,0.03
Ndufb5,0.584,1.68,0.09,0.21,0.05,0.17
Mrps21,0.584,1.31,0.06,0.16,0.05,0.11
Mink1,0.584,1.51,0.05,0.14,0.04,0.12
AC149090.1,0.583,2.56,0.32,0.33,0.12,0.34
Wdr45,0.583,3.49,0.04,0.09,0.01,0.05
Noxo1,0.583,2.87,0.03,0.10,0.01,0.04
Gm4258,0.583,2.27,0.03,0.09,0.01,0.05
Gtf3a,0.583,4.87,0.03,0.09,0.01,0.03
Calm1,0.583,1.35,0.47,0.45,0.35,0.41
Rab11b,0.583,1.64,0.09,0.21,0.06,0.15
Bzw1,0.583,2.13,0.17,0.33,0.08,0.26
Ikbkb,0.583,1.81,0.06,0.14,0.03,0.09
Dhx30,0.583,3.20,0.04,0.12,0.01,0.05
Gsap,0.583,2.22,0.04,0.10,0.02,0.06
Tomm5,0.583,3.46,0.04,0.12,0.01,0.05
Invs,0.583,3.13,0.04,0.09,0.01,0.07
Rrbp1,0.582,1.46,0.31,0.52,0.21,0.47
9530068E07Rik,0.582,2.09,0.07,0.15,0.04,0.11
Wdr1,0.582,1.68,0.06,0.16,0.04,0.09
Usf2,0.582,1.40,0.04,0.14,0.03,0.12
Iffo2,0.582,2.25,0.06,0.12,0.03,0.09
Mrpl41,0.582,25.23,0.03,0.08,0.00,0.01
Stt3a,0.582,2.74,0.08,0.13,0.03,0.12
Dstyk,0.582,2.30,0.04,0.12,0.02,0.11
Ccnl2,0.582,1.77,0.14,0.22,0.08,0.22
Myh10,0.582,2.42,0.07,0.16,0.03,0.12
Cmss1,0.582,1.33,24.15,1.00,18.14,1.00
Cap1,0.581,1.37,0.08,0.22,0.06,0.19
Gars,0.581,1.70,0.06,0.17,0.04,0.14
Rarg,0.581,1.71,0.05,0.10,0.03,0.08
Sec14l1,0.581,2.04,0.08,0.20,0.04,0.15
G930009F23Rik,0.581,2.20,0.05,0.14,0.02,0.06
Slc6a8,0.581,1.91,0.05,0.12,0.03,0.08
Pip5k1a,0.581,1.99,0.08,0.17,0.04,0.13
Slc25a3,0.581,1.25,0.30,0.44,0.24,0.43
Cep63,0.581,1.85,0.07,0.13,0.04,0.12
Tle4,0.580,1.84,0.10,0.20,0.05,0.20
Nlrp4e,0.580,5.49,0.06,0.08,0.01,0.05
Tnfrsf1a,0.580,3.23,0.05,0.08,0.01,0.05
Ecm1,0.580,3.01,0.04,0.10,0.01,0.03
Mrpl21,0.580,2.93,0.05,0.13,0.02,0.03
Lcmt1,0.580,3.09,0.03,0.09,0.01,0.06
Polr2g,0.580,2.36,0.02,0.10,0.01,0.05
Kcmf1,0.580,1.54,0.11,0.28,0.07,0.22
Nfkb2,0.580,1.54,0.05,0.15,0.03,0.11
Med13l,0.580,2.22,0.09,0.16,0.04,0.17
Rpl34,0.580,1.44,0.84,0.64,0.58,0.58
Btf3,0.580,1.30,0.25,0.38,0.19,0.34
Parp8,0.580,1.54,0.08,0.19,0.05,0.16
Eif4e2,0.580,2.00,0.08,0.20,0.04,0.12
Arhgef17,0.580,1.64,0.06,0.14,0.04,0.14
Dynlt3,0.580,2.45,0.05,0.12,0.02,0.09
Strn,0.580,2.01,0.05,0.13,0.02,0.08
Cep170b,0.580,1.82,0.05,0.12,0.03,0.06
Tbc1d2b,0.580,2.51,0.05,0.10,0.02,0.07
Vkorc1l1,0.580,2.75,0.04,0.10,0.01,0.07
Malsu1,0.580,2.16,0.06,0.10,0.03,0.07
Wdr36,0.580,2.87,0.03,0.08,0.01,0.06
Dctn5,0.580,2.37,0.03,0.09,0.01,0.05
Ankle2,0.580,4.91,0.05,0.09,0.01,0.05
Tceanc2,0.580,4.13,0.02,0.07,0.01,0.04
Rabep2,0.580,5.75,0.02,0.09,0.00,0.02
Bop1,0.580,6.76,0.04,0.07,0.01,0.04
Hsd17b10,0.579,2.21,0.07,0.14,0.03,0.08
Actr10,0.579,1.96,0.04,0.10,0.02,0.12
Pclo,0.579,2.13,0.05,0.13,0.02,0.09
Clk2,0.579,1.23,0.04,0.13,0.03,0.09
Ttc19,0.579,3.05,0.03,0.12,0.01,0.05
Zfp560,0.579,2.07,0.03,0.10,0.02,0.06
Rps3,0.579,1.37,0.81,0.64,0.59,0.52
Cd38,0.579,5.42,0.04,0.07,0.01,0.05
Stk19,0.579,5.75,0.04,0.08,0.01,0.04
Ptcd2,0.579,2.94,0.02,0.09,0.01,0.03
Ngrn,0.579,5.01,0.03,0.08,0.01,0.04
Fzd6,0.579,3.85,0.03,0.07,0.01,0.05
Mrpl37,0.579,3.64,0.06,0.09,0.02,0.03
Zfp68,0.579,6.15,0.03,0.08,0.01,0.04
Cyth3,0.579,7.35,0.04,0.09,0.01,0.03
Nudt4,0.579,1.96,0.08,0.15,0.04,0.15
Atl3,0.579,1.90,0.07,0.15,0.04,0.15
Psmd7,0.579,1.84,0.07,0.14,0.04,0.16
Tnfrsf12a,0.579,1.63,0.09,0.16,0.06,0.14
Top2b,0.579,1.59,0.09,0.23,0.06,0.21
Ybx1,0.579,1.42,0.40,0.42,0.28,0.43
Psmc2,0.579,1.21,0.08,0.21,0.06,0.15
Rpl41,0.579,1.44,1.44,0.76,1.00,0.67
Mrpl1,0.578,2.34,0.04,0.12,0.02,0.08
Zhx3,0.578,2.13,0.04,0.09,0.02,0.09
Atp5d,0.578,1.36,0.12,0.26,0.09,0.22
Ifrd1,0.578,1.31,0.14,0.26,0.11,0.22
Zc3h13,0.578,1.51,0.09,0.16,0.06,0.15
Rest,0.578,1.51,0.05,0.16,0.03,0.15
Ndufs2,0.578,1.93,0.07,0.15,0.03,0.11
Ino80,0.578,1.48,0.03,0.12,0.02,0.14
Selenof,0.578,1.43,0.14,0.27,0.10,0.23
Chsy3,0.578,1.71,0.18,0.17,0.11,0.11
Pitpna,0.578,1.62,0.07,0.21,0.05,0.20
Cdkn1a,0.578,1.61,0.13,0.27,0.08,0.15
Ube2o,0.578,11.68,0.05,0.07,0.00,0.03
Pex3,0.578,7.53,0.03,0.07,0.00,0.03
Sh3bgrl2,0.578,6.72,0.04,0.09,0.01,0.01
Foxj3,0.577,1.93,0.05,0.15,0.02,0.09
Pnrc1,0.577,1.42,0.17,0.35,0.12,0.32
Sdf2,0.577,1.66,0.07,0.21,0.04,0.15
Bdp1,0.577,1.30,0.09,0.21,0.07,0.17
S100a6,0.577,2.49,0.52,0.33,0.21,0.27
Nolc1,0.577,2.31,0.04,0.13,0.02,0.08
Trim26,0.577,2.78,0.03,0.10,0.01,0.05
Srp14,0.577,1.90,0.08,0.19,0.04,0.16
Npc2,0.577,2.02,0.04,0.14,0.02,0.08
Ostf1,0.577,2.81,0.05,0.14,0.02,0.08
Plekha6,0.577,1.70,0.14,0.21,0.08,0.18
Bsg,0.577,1.45,0.17,0.34,0.12,0.29
Set,0.577,1.49,0.27,0.38,0.18,0.36
Cd63,0.577,1.27,0.25,0.43,0.20,0.37
Mospd2,0.577,2.25,0.02,0.08,0.01,0.05
Isyna1,0.577,2.93,0.03,0.08,0.01,0.05
Wdr82,0.577,2.23,0.03,0.10,0.01,0.07
Rpl10,0.576,1.29,0.25,0.38,0.20,0.33
Golgb1,0.576,1.27,0.14,0.28,0.11,0.25
Muc1,0.576,1.26,0.15,0.30,0.12,0.23
Strn3,0.576,1.30,0.16,0.37,0.12,0.33
Il31ra,0.576,1.44,0.34,0.56,0.24,0.47
Tsc22d1,0.576,1.67,0.13,0.27,0.08,0.20
Dcaf8,0.576,1.69,0.12,0.20,0.07,0.18
Pura,0.576,1.40,0.08,0.20,0.06,0.23
Trmt1,0.576,2.30,0.03,0.09,0.01,0.07
Slirp,0.576,2.29,0.05,0.12,0.02,0.05
Rgs5,0.576,2.25,0.15,0.19,0.07,0.17
Hint2,0.576,4.38,0.04,0.10,0.01,0.04
Dtx4,0.576,2.21,0.03,0.09,0.02,0.05
Rnf13,0.576,1.87,0.06,0.15,0.03,0.11
Rlim,0.576,1.50,0.04,0.14,0.02,0.14
Gna13,0.576,1.39,0.05,0.12,0.04,0.08
Cnot10,0.576,3.33,0.05,0.10,0.02,0.09
Ctsh,0.576,1.31,0.15,0.26,0.12,0.22
Ddx39b,0.575,1.28,0.12,0.26,0.09,0.24
Skap2,0.575,1.58,0.05,0.19,0.03,0.12
Kdelr2,0.575,1.67,0.05,0.13,0.03,0.11
Atg16l2,0.575,3.66,0.03,0.08,0.01,0.03
Brms1,0.575,4.50,0.02,0.08,0.00,0.03
Xpot,0.575,2.17,0.03,0.09,0.01,0.02
Ercc5,0.575,4.33,0.02,0.08,0.01,0.03
Pdzrn3,0.575,6.73,0.04,0.08,0.01,0.03
Rb1cc1,0.575,1.39,0.11,0.23,0.08,0.23
Wfdc18,0.575,1.24,0.13,0.15,0.10,0.09
Psmc4,0.575,1.25,0.05,0.15,0.04,0.09
Ddx23,0.575,6.17,0.04,0.08,0.01,0.04
Tceal8,0.575,5.24,0.04,0.07,0.01,0.05
Pfkfb3,0.575,2.40,0.02,0.07,0.01,0.05
Ampd3,0.575,3.25,0.03,0.08,0.01,0.04
Ptpra,0.575,1.56,0.07,0.16,0.04,0.15
Mtpn,0.575,1.60,0.07,0.19,0.04,0.17
Arf1,0.575,1.17,0.16,0.27,0.14,0.25
Igsf9,0.574,2.79,0.05,0.13,0.02,0.09
Mrpl20,0.574,1.79,0.04,0.13,0.02,0.08
L3mbtl3,0.574,1.29,0.04,0.14,0.03,0.07
Cfb,0.574,1.91,0.06,0.12,0.03,0.09
Taldo1,0.574,1.48,0.09,0.21,0.06,0.20
Ythdf2,0.574,2.05,0.04,0.10,0.02,0.08
Rps20,0.574,1.56,1.83,0.80,1.17,0.73
Rpl30,0.574,1.44,0.82,0.60,0.57,0.52
Nipal2,0.574,1.86,0.11,0.23,0.06,0.21
Ddit4,0.574,1.80,0.06,0.19,0.03,0.09
Psmb7,0.574,1.54,0.12,0.22,0.07,0.18
Ppp6c,0.573,2.73,0.05,0.09,0.02,0.06
Rims2,0.573,1.95,0.04,0.12,0.02,0.04
Hs2st1,0.573,1.53,0.11,0.21,0.07,0.24
Gm37240,0.573,1.57,0.02,0.10,0.02,0.07
Polr2j,0.573,2.25,0.05,0.10,0.02,0.07
Ddx54,0.573,1.72,0.08,0.15,0.04,0.12
Snrpd2,0.573,1.32,0.09,0.22,0.07,0.17
Eif3b,0.573,1.72,0.08,0.17,0.05,0.15
Snhg1,0.573,2.01,0.10,0.19,0.05,0.14
Gp2,0.573,7.37,0.04,0.08,0.01,0.02
Nadk,0.573,1.75,0.07,0.19,0.04,0.17
Rev1,0.573,1.77,0.06,0.13,0.03,0.11
Rexo2,0.573,1.22,0.07,0.17,0.05,0.16
Gusb,0.573,12.28,0.03,0.07,0.00,0.02
Ric8a,0.573,12.81,0.05,0.07,0.00,0.02
Slc49a4,0.573,11.16,0.03,0.07,0.00,0.02
Arf2,0.573,12.16,0.03,0.07,0.00,0.02
Dab1,0.573,2.03,0.05,0.13,0.02,0.12
Rbl1,0.573,6.95,0.02,0.07,0.00,0.02
Slc39a1,0.573,1.52,0.05,0.10,0.03,0.09
Eya3,0.573,2.08,0.06,0.12,0.03,0.08
Ctsc,0.573,3.86,0.06,0.08,0.02,0.05
Gm4924,0.573,2.81,0.03,0.08,0.01,0.05
Pnp,0.573,2.45,0.03,0.09,0.01,0.04
Ifih1,0.573,2.30,0.02,0.08,0.01,0.05
Dbndd2,0.573,1.94,0.04,0.13,0.02,0.04
Lsm2,0.573,3.10,0.06,0.12,0.02,0.05
Cks2,0.573,4.19,0.08,0.10,0.02,0.06
Eif4b,0.573,1.70,0.14,0.28,0.08,0.29
Cdc27,0.572,3.53,0.06,0.12,0.02,0.07
Ptpn23,0.572,2.46,0.04,0.10,0.02,0.08
Elof1,0.572,1.79,0.04,0.12,0.03,0.07
Zhx1,0.572,2.90,0.05,0.09,0.02,0.05
Nes,0.572,1.83,0.12,0.16,0.06,0.14
Sdc4,0.572,1.44,0.25,0.38,0.17,0.31
Galnt7,0.572,1.54,0.06,0.13,0.04,0.09
Slc25a10,0.572,1.87,0.04,0.13,0.02,0.09
Fn1,0.572,1.30,0.06,0.14,0.05,0.08
Jund,0.572,1.19,0.48,0.60,0.41,0.49
Fut8,0.572,1.38,0.08,0.20,0.06,0.17
Mef2d,0.572,2.37,0.06,0.10,0.02,0.11
Nudt21,0.572,1.07,0.03,0.15,0.03,0.11
Kras,0.571,1.81,0.09,0.17,0.05,0.14
Srsf3,0.571,1.70,0.18,0.30,0.10,0.29
Bccip,0.571,1.74,0.05,0.14,0.03,0.13
Ube2j1,0.571,1.52,0.05,0.16,0.03,0.11
Vapb,0.571,1.25,0.09,0.21,0.07,0.21
Cltb,0.571,4.21,0.03,0.08,0.01,0.03
Napg,0.571,4.82,0.03,0.07,0.01,0.04
Fbxo6,0.571,5.33,0.03,0.08,0.01,0.03
Mitd1,0.571,4.74,0.03,0.08,0.01,0.03
Rap2a,0.571,6.67,0.03,0.09,0.00,0.02
Cdk5rap3,0.571,2.95,0.02,0.07,0.01,0.05
Npepl1,0.571,3.87,0.03,0.09,0.01,0.03
Casp4,0.571,3.69,0.04,0.09,0.01,0.03
Rps19bp1,0.571,2.90,0.03,0.08,0.01,0.04
Morn2,0.571,2.88,0.02,0.07,0.01,0.05
Mvb12b,0.571,1.57,0.05,0.17,0.03,0.17
Rnasek,0.571,1.30,0.05,0.19,0.04,0.16
Gspt1,0.571,1.49,0.08,0.22,0.06,0.17
Map3k4,0.571,1.46,0.05,0.13,0.03,0.11
Tsg101,0.571,1.93,0.06,0.13,0.03,0.11
Lrg1,0.570,1.46,0.04,0.12,0.02,0.06
Fcf1,0.570,1.67,0.02,0.10,0.01,0.07
Ndrg1,0.570,2.54,0.05,0.09,0.02,0.08
Sar1b,0.570,3.26,0.05,0.09,0.01,0.08
Jpt2,0.570,1.36,0.03,0.13,0.02,0.05
Cdkl2,0.570,2.08,0.03,0.12,0.01,0.06
Fth1,0.570,1.20,1.18,0.74,0.99,0.66
Aga,0.570,Inf,0.05,0.08,0.00,0.00
Mkrn2,0.570,Inf,0.02,0.08,0.00,0.00
Mpp1,0.570,1.16,0.03,0.09,0.02,0.06
Asnsd1,0.570,2.38,0.03,0.09,0.01,0.06
Snrnp48,0.570,2.72,0.05,0.09,0.02,0.06
Maged2,0.570,2.37,0.03,0.10,0.01,0.05
Zfp131,0.570,2.05,0.02,0.10,0.01,0.05
Vps36,0.570,1.84,0.07,0.16,0.04,0.18
Rab5if,0.569,2.16,0.05,0.10,0.02,0.08
Gtf2a1,0.569,2.16,0.04,0.10,0.02,0.08
Slc20a2,0.569,1.52,0.06,0.15,0.04,0.18
Ivns1abp,0.569,1.44,0.20,0.33,0.14,0.35
Parn,0.569,1.75,0.06,0.14,0.03,0.12
Mrpl12,0.569,1.62,0.05,0.16,0.03,0.09
Rufy1,0.569,1.88,0.03,0.09,0.01,0.07
Pdia6,0.569,2.04,0.07,0.13,0.03,0.09
Adipor2,0.569,1.26,0.04,0.12,0.03,0.09
Psme1,0.569,1.21,0.09,0.22,0.07,0.20
Eaf2,0.569,2.33,0.02,0.08,0.01,0.05
Por,0.569,2.59,0.04,0.09,0.02,0.04
Chchd5,0.569,1.94,0.03,0.09,0.02,0.04
Trappc5,0.569,4.90,0.02,0.09,0.00,0.01
Ncoa4,0.569,4.76,0.02,0.07,0.00,0.03
Zfp91,0.569,1.07,0.09,0.26,0.09,0.20
Ier5l,0.569,2.78,0.04,0.08,0.02,0.06
Cdc26,0.569,1.78,0.03,0.10,0.02,0.04
Apbb2,0.568,1.49,0.13,0.23,0.09,0.27
Snhg3,0.568,8.49,0.02,0.07,0.00,0.02
Nudc,0.568,1.51,0.08,0.22,0.05,0.17
Cdc34,0.568,2.03,0.07,0.13,0.03,0.11
Arf4,0.568,1.30,0.17,0.37,0.13,0.32
Etfb,0.568,1.20,0.05,0.17,0.04,0.14
Tor1aip2,0.568,1.15,0.08,0.22,0.07,0.20
Ulk2,0.568,1.67,0.06,0.16,0.03,0.17
Pdlim7,0.568,1.18,0.08,0.19,0.07,0.15
Hadh,0.568,1.41,0.06,0.17,0.04,0.16
Rnf10,0.568,1.54,0.20,0.35,0.13,0.26
Rbbp5,0.568,2.11,0.04,0.09,0.02,0.07
Pdcd6,0.568,1.98,0.08,0.16,0.04,0.13
Eif4ebp2,0.568,2.29,0.11,0.14,0.05,0.15
Hectd1,0.568,1.31,0.13,0.33,0.10,0.27
Itgb4,0.568,1.13,0.09,0.23,0.08,0.22
Ccdc191,0.567,1.66,0.06,0.13,0.04,0.14
Cebpb,0.567,1.85,0.05,0.15,0.03,0.12
Rnf20,0.567,1.67,0.05,0.13,0.03,0.14
Cnot8,0.567,2.41,0.04,0.10,0.02,0.09
Bin3,0.567,2.24,0.04,0.10,0.02,0.07
Wbp2,0.567,1.46,0.04,0.10,0.02,0.07
Anxa11,0.567,1.91,0.06,0.12,0.03,0.06
Coq8b,0.567,2.73,0.04,0.10,0.02,0.07
Pigp,0.567,2.00,0.04,0.09,0.02,0.08
Ift57,0.567,2.32,0.03,0.08,0.01,0.09
Chmp2a,0.567,1.31,0.09,0.24,0.07,0.15
Elovl1,0.567,1.86,0.03,0.09,0.02,0.03
Mrpl19,0.567,3.49,0.02,0.08,0.01,0.04
2210016L21Rik,0.567,6.05,0.03,0.08,0.01,0.03
Thrap3,0.567,1.52,0.14,0.30,0.09,0.26
Rassf3,0.567,1.91,0.11,0.19,0.06,0.16
Kat6b,0.567,1.44,0.08,0.16,0.05,0.14
Etfa,0.567,1.92,0.06,0.16,0.03,0.14
Hsp90b1,0.567,1.47,0.20,0.30,0.14,0.33
Cpe,0.567,2.47,0.07,0.10,0.03,0.05
Lsm7,0.567,2.86,0.03,0.10,0.01,0.05
Ctps,0.567,2.51,0.04,0.09,0.01,0.06
Rabac1,0.566,1.03,0.09,0.21,0.09,0.20
Zfc3h1,0.566,1.62,0.12,0.26,0.07,0.24
Chchd10,0.566,1.22,0.05,0.14,0.04,0.19
Ufd1,0.566,1.94,0.04,0.13,0.02,0.08
Ephx1,0.566,2.59,0.04,0.09,0.01,0.07
Kxd1,0.566,3.59,0.05,0.09,0.01,0.07
Polk,0.566,1.22,0.05,0.13,0.04,0.11
Egr1,0.566,1.28,0.39,0.37,0.30,0.36
Eif4g2,0.565,1.37,0.29,0.49,0.21,0.36
Dstn,0.565,1.65,0.63,0.56,0.38,0.52
2700062C07Rik,0.565,15.04,0.02,0.07,0.00,0.01
Oser1,0.565,30.40,0.04,0.07,0.00,0.01
Ntmt1,0.565,13.97,0.02,0.07,0.00,0.01
Anxa1,0.565,43.84,0.09,0.07,0.00,0.01
Synrg,0.565,1.16,0.05,0.19,0.05,0.16
Nck2,0.565,1.71,0.16,0.24,0.09,0.24
2610037D02Rik,0.565,1.51,0.04,0.15,0.03,0.12
Lrrc4,0.565,2.82,0.04,0.08,0.01,0.05
Jup,0.565,1.31,0.12,0.27,0.09,0.27
Nxf1,0.565,3.01,0.04,0.09,0.01,0.04
Polr3k,0.565,2.46,0.03,0.08,0.01,0.05
Cant1,0.565,2.77,0.03,0.09,0.01,0.04
Sord,0.565,2.67,0.04,0.09,0.01,0.04
Rps6ka1,0.565,3.83,0.04,0.09,0.01,0.04
Rprd1b,0.565,2.32,0.04,0.09,0.02,0.04
Rhoc,0.565,1.71,0.08,0.16,0.05,0.09
Gpx2,0.565,1.55,0.04,0.10,0.03,0.04
Tor2a,0.565,2.32,0.03,0.09,0.01,0.05
Fbxo30,0.565,3.00,0.03,0.09,0.01,0.05
Lztr1,0.565,1.85,0.03,0.12,0.02,0.09
Eif3k,0.565,1.23,0.14,0.30,0.12,0.28
Znrf1,0.565,1.50,0.10,0.22,0.07,0.23
Eif1ad,0.564,5.94,0.03,0.08,0.01,0.02
Chrac1,0.564,7.59,0.03,0.08,0.00,0.02
Gatd1,0.564,5.67,0.03,0.08,0.00,0.02
Cnpy3,0.564,3.77,0.01,0.07,0.00,0.03
Aqr,0.564,6.55,0.03,0.07,0.00,0.03
Pak4,0.564,5.85,0.02,0.08,0.00,0.02
Pcgf5,0.564,1.76,0.03,0.10,0.01,0.09
Ikzf2,0.564,1.66,0.04,0.12,0.03,0.08
Snhg6,0.564,1.50,0.05,0.15,0.03,0.05
Rps19,0.564,1.37,1.24,0.67,0.91,0.65
Rps10,0.564,1.25,1.07,0.64,0.86,0.60
Tspan9,0.564,1.57,0.06,0.14,0.04,0.15
Eif3d,0.564,1.14,0.07,0.17,0.06,0.12
Col1a2,0.564,1.48,0.07,0.17,0.05,0.12
Clta,0.564,1.40,0.15,0.29,0.11,0.28
Lats2,0.564,1.69,0.02,0.09,0.01,0.08
