gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Rdh10,0.636,2.65,0.16,0.20,0.06,0.08
Mex3c,0.636,3.27,0.07,0.16,0.02,0.12
Qars,0.636,2.49,0.07,0.17,0.03,0.11
Rap1b,0.635,2.18,0.16,0.31,0.07,0.24
2200002D01Rik,0.635,1.96,0.19,0.31,0.10,0.20
Marveld3,0.634,4.10,0.06,0.13,0.02,0.07
Kit,0.634,4.40,0.07,0.13,0.02,0.06
Psma3,0.634,1.45,0.09,0.26,0.06,0.17
Nhp2,0.633,1.12,0.07,0.19,0.06,0.12
Yy1,0.633,1.57,0.11,0.28,0.07,0.21
Pkp3,0.633,3.79,0.05,0.14,0.01,0.07
Fam214a,0.633,2.33,0.09,0.21,0.04,0.16
Edem2,0.633,2.74,0.10,0.16,0.03,0.11
Nucb2,0.632,2.47,0.18,0.24,0.07,0.21
Arih2,0.632,2.83,0.06,0.15,0.02,0.11
Uqcr11,0.631,1.68,0.16,0.33,0.09,0.21
Rab11fip5,0.631,2.23,0.05,0.14,0.02,0.06
Cers2,0.631,4.27,0.05,0.14,0.01,0.05
Chchd1,0.631,2.56,0.08,0.17,0.03,0.09
Dnajc13,0.630,2.98,0.11,0.17,0.04,0.16
Pfdn5,0.630,2.03,0.27,0.38,0.14,0.34
Ahnak,0.630,1.84,0.21,0.30,0.12,0.22
Rras,0.630,1.68,0.07,0.22,0.04,0.09
Vmp1,0.630,1.96,0.29,0.44,0.15,0.31
Cct3,0.630,2.76,0.08,0.15,0.03,0.11
Ndufaf2,0.629,2.61,0.03,0.13,0.01,0.05
Fkbp2,0.629,2.36,0.08,0.19,0.03,0.14
Aamp,0.629,2.05,0.07,0.16,0.03,0.13
Ndufb9,0.629,2.02,0.08,0.23,0.04,0.14
Itgb5,0.629,2.67,0.06,0.14,0.02,0.13
Dut,0.628,4.23,0.04,0.12,0.01,0.05
Cwc15,0.628,2.33,0.09,0.24,0.04,0.15
Uqcrq,0.628,1.87,0.22,0.35,0.12,0.29
Higd1a,0.627,2.94,0.06,0.14,0.02,0.07
Ctse,0.627,2.86,0.10,0.16,0.04,0.06
Fat1,0.627,2.03,0.12,0.28,0.06,0.19
Prdx3,0.627,12.92,0.03,0.10,0.00,0.02
Svbp,0.627,8.71,0.05,0.13,0.01,0.02
Pdcd10,0.626,2.68,0.06,0.14,0.02,0.13
Psmd8,0.626,2.00,0.12,0.23,0.06,0.16
Cisd1,0.626,3.83,0.05,0.13,0.01,0.05
Dock11,0.626,4.68,0.06,0.13,0.01,0.05
